,电影名称,年份,国家,标签,评分
175,荒蛮故事,2014 , 阿根廷 西班牙 , 剧情 喜剧 犯罪,8.8
176,惊魂记,1960 , 美国 , 悬疑 惊悚 恐怖,9.0
177,爆裂鼓手,2014 , 美国 , 剧情 音乐,8.7
178,贫民窟的百万富翁,2008 , 英国 , 剧情 爱情,8.6
179,真爱至上,2003 , 英国 美国 法国 , 喜剧 剧情 爱情,8.6
180,东邪西毒,1994 , 中国香港 中国台湾 , 剧情 动作 爱情 武侠 古装,8.6
181,九品芝麻官,1994 , 中国香港 中国大陆 , 剧情 喜剧 古装,8.6
182,绿里奇迹,1999 , 美国 , 犯罪 剧情 奇幻 悬疑,8.9
183,小偷家族,2018 , 日本 , 剧情 犯罪 家庭,8.7
184,无敌破坏王,2012 , 美国 , 喜剧 动画 奇幻 冒险,8.7
185,爱在午夜降临前,2013 , 美国 希腊 , 剧情 爱情,8.8
186,黑天鹅,2010 , 美国 , 剧情 惊悚,8.6
187,你看起来好像很好吃,2010 , 日本 , 剧情 动画 儿童,8.9
188,冰川时代,2002 , 美国 , 喜剧 动画 冒险,8.6
189,萤火虫之墓,1988 , 日本 , 动画 剧情 战争,8.7
190,疯狂的石头,2006 , 中国大陆 中国香港 , 喜剧 犯罪,8.5
191,雨人,1988 , 美国 , 剧情,8.7
192,恋恋笔记本,2004 , 美国 , 剧情 爱情,8.6
193,恐怖游轮,2009 , 英国 澳大利亚 , 剧情 悬疑 惊悚,8.5
194,雨中曲,1952 , 美国 , 喜剧 歌舞 爱情,9.1
195,色，戒,2007 , 中国台湾 中国大陆 美国 中国香港 , 剧情 爱情 情色,8.5
196,魔女宅急便,1989 , 日本 , 动画 奇幻 冒险,8.7
197,2001太空漫游,1968 , 英国 美国 , 科幻 惊悚 冒险,8.8
198,二十二,2015 , 中国大陆 , 纪录片,8.7
199,城市之光,1931 , 美国 , 喜剧 剧情 爱情,9.3
200,虎口脱险,1966 , 法国 英国 , 喜剧 战争,8.9
201,可可西里,2004 , 中国大陆 中国香港 , 剧情 犯罪,8.8
202,人工智能,2001 , 美国 英国 , 剧情 科幻,8.7
203,奇迹男孩,2017 , 美国 中国香港 , 剧情 儿童 家庭,8.6
204,海边的曼彻斯特,2016 , 美国 , 剧情 家庭,8.6
205,初恋这件小事,2010 , 泰国 , 剧情 喜剧 爱情,8.4
206,罗生门,1950 , 日本 , 剧情 犯罪 悬疑,8.8
207,大佛普拉斯,2017 , 中国台湾 , 剧情 喜剧,8.7
208,终结者2：审判日,1991 , 美国 法国 , 动作 科幻,8.8
209,遗愿清单,2007 , 美国 , 冒险 喜剧 剧情,8.7
210,房间,2015 , 爱尔兰 加拿大 英国 美国 , 剧情 家庭,8.8
211,牯岭街少年杀人事件,1991 , 中国台湾 , 剧情 犯罪,8.9
212,源代码,2011 , 美国 加拿大 , 科幻 悬疑 惊悚,8.5
213,青蛇,1993 , 中国香港 中国大陆 , 剧情 爱情 奇幻 古装,8.6
214,新龙门客栈,1992 , 中国香港 中国大陆 , 动作 爱情 武侠 古装,8.6
215,波西米亚狂想曲,2018 , 英国 美国 , 剧情 传记 同性 音乐,8.7
216,魂断蓝桥,1940 , 美国 , 剧情 爱情 战争,8.8
217,无间道2,2003 , 中国香港 , 剧情 犯罪 惊悚,8.6
218,疯狂的麦克斯4：狂暴之路,2015 , 澳大利亚 美国 , 动作 科幻 冒险,8.6
219,东京教父,2003 , 日本 , 剧情 喜剧 动画,9.0
220,无耻混蛋,2009 , 德国 美国 , 剧情 犯罪,8.6
221,步履不停,2008 , 日本 , 剧情 家庭,8.8
222,血钻,2006 , 美国 德国 英国 , 剧情 惊悚 冒险,8.7
223,燃情岁月,1994 , 美国 , 剧情 爱情 战争 西部,8.8
224,彗星来的那一夜,2013 , 美国 英国 , 科幻 悬疑 惊悚,8.5
225,战争之王,2005 , 法国 德国 美国 , 剧情 犯罪,8.7
226,海洋,2009 , 法国 瑞士 西班牙 美国 阿联酋 摩纳哥 , 纪录片,9.1
227,谍影重重2,2004 , 美国 德国 , 动作 悬疑 惊悚,8.7
228,千钧一发,1997 , 美国 , 剧情 科幻 惊悚,8.8
229,黑客帝国2：重装上阵,2003 , 美国 , 动作 科幻,8.6
230,穿越时空的少女,2006 , 日本 , 剧情 爱情 科幻 动画,8.6
231,阿飞正传,1990 , 中国香港 , 犯罪 剧情 爱情,8.5
232,茶馆,1982 , 中国大陆 , 剧情 历史,9.5
233,崖上的波妞,2008 , 日本 , 动画 奇幻 冒险,8.6
234,地球上的星星,2007 , 印度 , 剧情 儿童 家庭,8.9
235,谍影重重,2002 , 美国 德国 捷克 , 动作 悬疑 惊悚,8.6
236,完美陌生人,2016 , 意大利 , 剧情 喜剧,8.5
237,香水,2006 , 德国 法国 西班牙 美国 比利时 , 剧情 犯罪 奇幻,8.5
238,再次出发之纽约遇见你,2013 , 美国 , 喜剧 爱情 音乐,8.6
239,我爱你,2011 , 韩国 , 剧情 爱情,9.1
240,背靠背，脸对脸,1994 , 中国大陆 中国香港 , 剧情,9.5
241,朗读者,2008 , 美国 德国 , 剧情 爱情,8.6
242,爱乐之城,2016 , 美国 , 剧情 爱情 歌舞,8.4
243,聚焦,2015 , 美国 , 剧情 传记,8.8
244,驴得水,2016 , 中国大陆 , 剧情 喜剧,8.3
245,浪潮,2008 , 德国 , 剧情 惊悚,8.7
246,猜火车,1996 , 英国 , 剧情 犯罪,8.5
247,小萝莉的猴神大叔,2015 , 印度 , 剧情 喜剧 动作,8.4
248,火星救援,2015 , 英国 美国 匈牙利 约旦 , 剧情 科幻 冒险,8.5
249,小丑,2019 , 美国 加拿大 , 剧情 犯罪 惊悚,8.7
